compound	dose	no_of_replicates_per_compound	well	median_replicate_correlation	p_value	assay
camicinal	3.33 uM	3	M08	0.1004288410988574	0.066	L1000
camptothecin	3.33 uM	3	D08	0.6047731681245091	0	L1000
canagliflozin	3.33 uM	3	M08	0.0617940496358763	0.171	L1000
candesartan	3.33 uM	3	I20	0.0207129850134785	0.461	L1000
canertinib	3.33 uM	3	B08	0.0250848485620957	0.491	L1000
canrenoic-acid	3.33 uM	3	L14	0.0993089743552768	0.073	L1000
capecitabine	3.33 uM	3	K14	0.1792413540577866	0.007	L1000
capsaicin	3.33 uM	3	P14	0.1220248753082002	0.021	L1000
carbachol	3.33 uM	2	E14	0.0683932219753993	0.221	L1000
carbamazepine	3.33 uM	3	N02	0.0131822591807436	0.6	L1000
carbenoxolone	3.33 uM	3	F02	0.0067604535691707	0.71	L1000
carbimazole	3.33 uM	3	E02	0.0794001153196395	0.187	L1000
carglumic-acid	3.33 uM	3	N20	0.00379262779023	0.605	L1000
cariprazine	3.33 uM	3	J20	0.08945438121442	0.052	L1000
carisoprodol	3.33 uM	3	N20	0.0329258797668891	0.303	L1000
carprofen	3.33 uM	3	I14	0.1021566494567644	0.089	L1000
carvedilol	3.33 uM	3	N08	0.0729645032157559	0.096	L1000
cb-10-277-(free-acid)	3.33 uM	3	N08	0.0314379150174741	0.359	L1000
cc-401	3.33 uM	3	D20	0.1507755212095369	0.007	L1000
cc-930	3.33 uM	3	J02	0.015922006455134	0.619	L1000
cediranib	3.33 uM	3	F20	0.1119245843344831	0.025	L1000
cefdinir	3.33 uM	3	B14	0.0154801060243954	0.625	L1000
cefepime	3.33 uM	3	A14	0.0256170755378615	0.399	L1000
cefoperazone	3.33 uM	4	I20	0.0529911511011082	0.15	L1000
cefotetan	3.33 uM	2	N20	0.0379719506893347	0.338	L1000
cefozopran	3.33 uM	3	L20	-0.0072241846445777	0.816	L1000
celecoxib	3.33 uM	3	L14	0.1673297526919798	0.008	L1000
cep-37440	3.33 uM	3	O08	0.262749452520589	0.001	L1000
cepharanthine	3.33 uM	2	D20	0.2319822786023222	0.017	L1000
cgp12177	3.33 uM	3	H02	0.0075037199919642	0.647	L1000
chlorambucil	3.33 uM	3	D20	0.0224195129715684	0.49	L1000
chlormezanone	3.33 uM	3	O20	0.1103844334301796	0.052	L1000
chloroxine	3.33 uM	3	I08	0.1138499489282021	0.032	L1000
chlorphenamine	3.33 uM	3	D02	0.0413110654130454	0.378	L1000
chlorpromazine	3.33 uM	3	G08	0.1180345607976193	0.04	L1000
chlorpropamide	3.33 uM	3	A14	0.0023155762718492	0.7	L1000
chlortalidone	3.33 uM	3	O08	0.0784835584950273	0.132	L1000
cholic-acid	3.33 uM	3	M14	0.0457791528931628	0.236	L1000
choline-alfoscerate	3.33 uM	3	J20	0.0541251447633894	0.16	L1000
cianidanol	3.33 uM	3	J08	-0.001859172809824	0.842	L1000
ciclesonide	3.33 uM	3	M02	0.2404749321174748	0.001	L1000
ciglitazone	3.33 uM	3	D14	0.0380715726703313	0.288	L1000
cilengitide	3.33 uM	3	C14	0.0805526345955988	0.098	L1000
cilomilast	3.33 uM	3	F02	0.0986495081030573	0.078	L1000
cilostazol	3.33 uM	3	L14	0.0850871091806911	0.102	L1000
cimetidine	3.33 uM	3	O14	0.0501457610506859	0.298	L1000
cinaciguat	3.33 uM	3	P20	0.0915439033585322	0.079	L1000
cinepazide	3.33 uM	3	L14	0.0080215755436549	0.625	L1000
cinnarizine	3.33 uM	3	N02	0.0613294946950699	0.157	L1000
cinoxacin	3.33 uM	3	K14	0.0297019101878904	0.508	L1000
ciprofloxacin	3.33 uM	3	C14	0.0423136152572498	0.305	L1000
cisapride	3.33 uM	3	F02	0.0769408556360563	0.133	L1000
citalopram	3.33 uM	3	C14	0.0207121265203333	0.519	L1000
cladribine	3.33 uM	2	K02	0.2559766725795303	0.015	L1000
clarithromycin	3.33 uM	3	H08	0.0130120694999689	0.686	L1000
clenbuterol	3.33 uM	2	H02	0.0291012621202699	0.455	L1000
climbazole	3.33 uM	3	A08	0.1129385958448887	0.045	L1000
clinafloxacin	3.33 uM	3	G08	0.0924566634979511	0.077	L1000
clindamycin	3.33 uM	3	F02	-0.0707040783663644	0.999	L1000
clinofibrate	3.33 uM	3	G20	0.103083752636158	0.041	L1000
clioquinol	3.33 uM	3	H02	0.1331364887650394	0.033	L1000
clobetasol	3.33 uM	3	D14	0.3061999786929488	0	L1000
clofarabine	3.33 uM	3	I20	0.4029096623241195	0	L1000
clofazimine	3.33 uM	3	D02	-0.0303539329908738	0.964	L1000
clofibric-acid	3.33 uM	3	A20	0.0427603403880506	0.321	L1000
clofoctol	3.33 uM	4	L20	0.072145385259376	0.091	L1000
clomethiazole	3.33 uM	3	O08	0.0866073006881742	0.111	L1000
clomifene	3.33 uM	3	E20	0.0876582509870236	0.079	L1000
clonazepam	3.33 uM	3	D20	0.0657147708238925	0.155	L1000
clonidine	3.33 uM	2	B20	0.1801452963805951	0.049	L1000
clotrimazole	3.33 uM	3	B20	0.029298000411409	0.428	L1000
clozapine	3.33 uM	3	A08	0.1100930052647201	0.05	L1000
co-102862	3.33 uM	3	H14	0.0093109505380706	0.69	L1000
cobimetinib	3.33 uM	4	O20	0.3960379648496879	0	L1000
colchicine	3.33 uM	3	A20	0.1657546914823724	0.009	L1000
colforsin-daproate	3.33 uM	3	D02	0.0585064164021784	0.256	L1000
combretastatin-a-4	3.33 uM	3	O08	0.3739035744425317	0	L1000
conivaptan	3.33 uM	3	A14	0.0616072451618109	0.127	L1000
cordycepin	3.33 uM	3	L08	0.0649159316620536	0.132	L1000
cp-945,598	3.33 uM	3	F20	0.0402826622488849	0.227	L1000
cpi-1189	3.33 uM	3	N14	0.0772337275726274	0.089	L1000
cpi-613	3.33 uM	3	K14	0.1010192191195865	0.081	L1000
cromoglicic-acid	3.33 uM	3	L14	0.0297477771571093	0.387	L1000
ct-7758	3.33 uM	3	P08	0.0380385502742177	0.363	L1000
cts-1027	3.33 uM	3	P20	0.0267423658940714	0.473	L1000
curcumin	3.33 uM	3	N14	0.0921757598079113	0.064	L1000
cx-4945	3.33 uM	3	C08	0.0460167810191452	0.287	L1000
cx-5461	3.33 uM	3	D14	0.3290084925725081	0	L1000
cx516	3.33 uM	3	B08	0.0261425926541233	0.479	L1000
cyanocobalamin	3.33 uM	3	P20	0.0400926478396693	0.349	L1000
cyclizine	3.33 uM	2	P08	0.0700489236454739	0.23	L1000
cyclobenzaprine	3.33 uM	3	L08	0.0318575773013493	0.369	L1000
cyclosporin-a	3.33 uM	3	N02	0.240633449991349	0	L1000
cyproheptadine	3.33 uM	3	H14	0.041419684305167	0.311	L1000
cyproterone-acetate	3.33 uM	3	H08	0.123520419190365	0.028	L1000
cytarabine	3.33 uM	3	M08	-0.0135887956084978	0.887	L1000
cytisine	3.33 uM	3	A08	0.1039361706023908	0.062	L1000
d-serine	3.33 uM	3	M08	0.015592687446739001	0.528	L1000
dabigatran-etexilate	3.33 uM	3	F14	0.0284655262881604	0.35	L1000
dabrafenib	3.33 uM	3	I20	0.1686351068972756	0.006	L1000
dacarbazine	3.33 uM	3	N02	0.1227331995150422	0.021	L1000
dacinostat	3.33 uM	3	E14	0.7227599156198734	0	L1000
dacomitinib	3.33 uM	3	F20	0.0770191138086383	0.064	L1000
danazol	3.33 uM	3	A20	0.0695590492984568	0.158	L1000
danegaptide	3.33 uM	3	N08	-0.0106822866301473	0.848	L1000
dantrolene	3.33 uM	3	C02	0.1334237323370907	0.026	L1000
danusertib	3.33 uM	3	A08	0.2252635429940191	0.003	L1000
dapagliflozin	3.33 uM	3	F14	0.1460767266893667	0.016	L1000
dapivirine	3.33 uM	3	E02	0.0540183714376295	0.32	L1000
dapsone	3.33 uM	3	F02	0.0142190398253034	0.612	L1000
darifenacin	3.33 uM	3	F20	0.0472438951042129	0.168	L1000
darunavir	3.33 uM	3	D14	0.0788820920161852	0.075	L1000
dasabuvir	3.33 uM	4	M02	0.0463008345411271	0.228	L1000
dasatinib	3.33 uM	3	L14	0.2816931160078281	0	L1000
dazoxiben	3.33 uM	3	G02	-0.0087301421468119	0.88	L1000
decitabine	3.33 uM	3	B20	0.0499526627908657	0.272	L1000
defactinib	3.33 uM	3	N20	-0.0047194370651821	0.696	L1000
deferasirox	3.33 uM	3	M20	0.0637069071558962	0.137	L1000
deferiprone	3.33 uM	3	K02	-0.0056052345924276	0.847	L1000
deforolimus	3.33 uM	3	E20	0.1749287359956527	0.002	L1000
dehydroepiandrosterone	3.33 uM	3	E08	0.0170936195979464	0.55	L1000
delanzomib	3.33 uM	3	L02	0.5004434241853065	0	L1000
delivert	3.33 uM	3	D14	0.1801827713296471	0.001	L1000
deoxycholic-acid	3.33 uM	3	P02	0.0704005770650938	0.531	L1000
dequalinium	3.33 uM	3	M02	0.1781098878455258	0.004	L1000
desmopressin-acetate	3.33 uM	3	L20	0.178321389680078	0.004	L1000
dexamethasone	3.33 uM	3	N02	0.2021069193120886	0.001	L1000
dexamethasone	3.33 uM	3	F02	0.2021069193120886	0.001	L1000
dexfenfluramine	3.33 uM	3	I08	0.0404879900149443	0.39	L1000
dexloxiglumide	3.33 uM	3	P02	0.0101477455701175	0.892	L1000
dexniguldipine	3.33 uM	3	O20	-0.0183017756471623	0.89	L1000
dextromethorphan	3.33 uM	3	G08	0.056778881545182	0.204	L1000
diacerein	3.33 uM	3	F20	-0.0160480583268497	0.865	L1000
diazepam	3.33 uM	3	E14	0.0386059556562065	0.35	L1000
diazoxide	3.33 uM	3	P20	0.0536774313333332	0.253	L1000
diclofenac	3.33 uM	3	C08	0.1695703627500208	0.01	L1000
diclofensine	3.33 uM	3	M14	0.0120774420081256	0.612	L1000
dicloxacillin	3.33 uM	3	H02	0.043402930423566	0.318	L1000
dicoumarol	3.33 uM	3	G20	0.0526686863939592	0.238	L1000
dideoxyadenosine	3.33 uM	3	K14	0.1335626056977571	0.03	L1000
dienogest	3.33 uM	3	J02	0.1144473333542152	0.053	L1000
diethylcarbamazine	3.33 uM	3	C08	0.015769784726131	0.583	L1000
diethylstilbestrol	3.33 uM	3	C14	0.0981227750638105	0.064	L1000
diflunisal	3.33 uM	3	G08	0.0196447694133343	0.507	L1000
dihydroergocristine	3.33 uM	3	O14	0.0657328900483984	0.19	L1000
dihydroergotamine	3.33 uM	3	N20	0.0155308706548737	0.459	L1000
dilazep	3.33 uM	3	N20	0.0683515968290484	0.114	L1000
diltiazem	3.33 uM	3	F14	0.0687614361749037	0.102	L1000
dimesna	3.33 uM	3	O08	0.1830730832237381	0.005	L1000
dimethyl-fumarate	3.33 uM	3	A08	0.0141437667972381	0.587	L1000
diminazene-aceturate	3.33 uM	2	C08	0.0540348252606685	0.312	L1000
dinaciclib	3.33 uM	3	J02	0.6784923527920834	0	L1000
dinoprost	3.33 uM	3	A08	0.0851495695581174	0.103	L1000
diosmin	3.33 uM	3	E14	0.121925865782921	0.033	L1000
diphenidol	3.33 uM	4	H08	0.0635905285690436	0.129	L1000
dipraglurant	3.33 uM	2	I14	0.0372227242116887	0.428	L1000
dipyridamole	3.33 uM	3	P14	0.0196963142637642	0.529	L1000
disopyramide	3.33 uM	3	M20	0.0200147814978058	0.504	L1000
disulfiram	3.33 uM	3	E20	0.0759041476640217	0.126	L1000
dmp-777	3.33 uM	3	L08	-0.0653113114101545	0.998	L1000
docetaxel	3.33 uM	3	H14	0.2492395687015751	0	L1000
dofequidar	3.33 uM	3	N02	-0.0403880218821293	0.989	L1000
dolutegravir	3.33 uM	3	P08	0.2754162508811986	0.004	L1000
donepezil	3.33 uM	3	L08	0.0666431085533716	0.129	L1000
donitriptan	3.33 uM	3	I14	0.0026525648230842	0.837	L1000
dopamine	3.33 uM	3	O08	0.05352210192051	0.264	L1000
doramapimod	3.33 uM	2	C02	0.0699542266949998	0.26	L1000
dorzolamide	3.33 uM	3	K14	0.0543061105326925	0.257	L1000
doxapram	3.33 uM	3	F02	0.0768457587048098	0.133	L1000
doxazosin	3.33 uM	3	H08	0.042760340002941	0.341	L1000
doxepin	3.33 uM	3	N02	0.0606520040890697	0.163	L1000
doxifluridine	3.33 uM	3	H20	0.0453322268522114	0.255	L1000
doxofylline	3.33 uM	3	J08	0.11772143510259	0.047	L1000
doxorubicin	3.33 uM	3	L20	0.6548032350300566	0	L1000
doxycycline-hyclate	3.33 uM	3	D08	0.1178487058007467	0.045	L1000
dpcpx	3.33 uM	4	I02	0.0173777631462702	0.678	L1000
dpi-201106	3.33 uM	3	H20	0.0223764055372432	0.463	L1000
dronedarone	3.33 uM	3	G02	0.0446540271887851	0.37	L1000
droperidol	3.33 uM	3	J02	0.0908630539286657	0.117	L1000
drospirenone	3.33 uM	3	E08	0.0400382062073163	0.29	L1000
du-728	3.33 uM	3	E08	0.0554233912037541	0.187	L1000
duloxetine	3.33 uM	3	L14	0.0628041213630307	0.175	L1000
dutasteride	3.33 uM	3	L02	0.0710127502614423	0.102	L1000
e-2012	3.33 uM	3	O14	0.0779588534095072	0.147	L1000
ebselen	3.33 uM	3	L20	0.0194397032126817	0.559	L1000
econazole	3.33 uM	3	D14	0.0975734511465743	0.034	L1000
edoxaban	3.33 uM	3	K20	0.171627315413118	0.005	L1000
edoxudine	3.33 uM	3	E20	0.0040543282867385	0.739	L1000
efaproxiral	3.33 uM	3	B08	-0.0040785442915541	0.837	L1000
efavirenz	3.33 uM	3	G20	0.0406091594264678	0.35	L1000
eflornithine	3.33 uM	3	L20	0.032522269817162	0.42	L1000
elesclomol	3.33 uM	3	O14	0.0834812903645642	0.118	L1000
ellagic-acid	3.33 uM	3	P14	0.1026821600937654	0.041	L1000
emd-1214063	3.33 uM	3	P08	0.2896886512209101	0.003	L1000
emd-53998	3.33 uM	3	L02	0.0090430892397616	0.621	L1000
emedastine	3.33 uM	3	M14	-0.038458105273414	0.985	L1000
emtricitabine	3.33 uM	3	O20	0.0108546914911895	0.614	L1000
enalapril	3.33 uM	3	H02	-0.0072381539327231	0.816	L1000
enoxacin	3.33 uM	2	L20	0.0109870025101948	0.622	L1000
entecavir	3.33 uM	3	C02	0.0473442970861516	0.274	L1000
entinostat	3.33 uM	3	A20	0.3887385936472668	0	L1000
enzalutamide	3.33 uM	3	I20	0.0444047790850898	0.251	L1000
enzastaurin	3.33 uM	2	P02	0.3834853828140435	0.028	L1000
eperezolid	3.33 uM	3	H08	0.1127891757621662	0.047	L1000
epinastine	3.33 uM	3	M08	0.1141750283276059	0.043	L1000
epinephrine	3.33 uM	3	E02	0.0063690885413935	0.739	L1000
epirizole	3.33 uM	3	E20	0.0289890467755366	0.439	L1000
epirubicin	3.33 uM	3	E08	0.3471345740314268	0	L1000
epitiostanol	3.33 uM	4	J20	0.078722071416456	0.036	L1000
epothilone-b	3.33 uM	3	C08	0.1713324935184993	0.009	L1000
equol	3.33 uM	3	L02	-0.0223370526090166	0.922	L1000
ercalcitriol	3.33 uM	3	J20	0.0680305224721019	0.1	L1000
erlotinib	3.33 uM	3	G02	0.1379655798217115	0.038	L1000
erteberel	3.33 uM	3	B20	0.0788081858020002	0.129	L1000
erythromycin	3.33 uM	3	C08	0.0140779442729934	0.598	L1000
erythromycin	3.33 uM	3	G08	0.0140779442729934	0.58	L1000
escitalopram	3.33 uM	3	H20	0.0822983964620932	0.109	L1000
esmolol	3.33 uM	3	M14	0.0863709037917977	0.078	L1000
estramustine	3.33 uM	3	H08	0.0624773486353061	0.19	L1000
estramustine-phosphate	3.33 uM	4	A08	0.0158152511071173	0.629	L1000
estriol	3.33 uM	3	P14	0.0237559828636017	0.474	L1000
estrone	3.33 uM	3	C14	0.0410612145876548	0.314	L1000
etacrynic-acid	3.33 uM	3	H08	-0.0146096159627762	0.897	L1000
etanidazole	3.33 uM	3	K14	0.1059206473881977	0.074	L1000
etazolate	3.33 uM	3	J02	0.0244819209455604	0.536	L1000
ethinyl-estradiol	3.33 uM	4	K02	0.0150882970981742	0.743	L1000
ethylenediaminetetraacetic-acid	3.33 uM	3	B08	0.1255588275472283	0.03	L1000
etizolam	3.33 uM	3	D08	0.0259380825173053	0.466	L1000
etodolac	3.33 uM	3	J02	0.082436606151947	0.14	L1000
etofylline-clofibrate	3.33 uM	3	N14	0.0627075390597435	0.139	L1000
etomidate	3.33 uM	3	O14	0.0087605365862667	0.689	L1000
etomoxir	3.33 uM	3	E14	0.0322820024758501	0.416	L1000
etoposide	3.33 uM	3	P20	0.2727949951702777	0	L1000
etoricoxib	3.33 uM	3	K02	-0.1032458126944	0.999	L1000
etravirine	3.33 uM	3	I08	0.039903580384649	0.398	L1000
eugenol	3.33 uM	3	M02	0.0146359795062288	0.627	L1000
everolimus	3.33 uM	2	H02	0.4745920524872266	0	L1000
evp-6124	3.33 uM	3	M02	-0.0183461239436648	0.933	L1000
exalamide	3.33 uM	3	C08	0.0609420563418095	0.185	L1000
exemestane	3.33 uM	2	A20	0.0810684342778923	0.17	L1000
exherin	3.33 uM	3	H14	0.0875285651481971	0.096	L1000
fadrozole	3.33 uM	3	N14	0.0106025291119642	0.57	L1000
famciclovir	3.33 uM	3	B20	0.0265757078206812	0.46	L1000
famotidine	3.33 uM	4	D20	0.0093544637661823	0.741	L1000
faropenem	3.33 uM	3	M02	0.0834577848751375	0.091	L1000
fasudil	3.33 uM	3	L02	0.045302531675196	0.22	L1000
favipiravir	3.33 uM	3	B20	0.0559746028812363	0.239	L1000
fdcyd	3.33 uM	3	P02	0.4461478112171545	0.001	L1000
febuxostat	3.33 uM	3	I14	0.0190164528113765	0.673	L1000
felbinac	3.33 uM	3	P14	0.1758786767095989	0.002	L1000
felodipine	3.33 uM	3	G08	0.0035341090574927	0.722	L1000
fenobam	3.33 uM	3	O14	0.1335835763610484	0.026	L1000
fenoterol	3.33 uM	3	I02	0.1444573023048471	0.023	L1000
fenticonazole	3.33 uM	3	N20	-0.0333922220139844	0.927	L1000
fexofenadine	3.33 uM	3	L08	0.1601645537587813	0.008	L1000
fiacitabine	3.33 uM	3	L20	0.0163058972522604	0.607	L1000
fidarestat	3.33 uM	3	G08	0.0229487169902389	0.47	L1000
fidaxomicin	3.33 uM	2	D14	0.01462192413245	0.562	L1000
filgotinib	3.33 uM	3	H14	0.0707030672746086	0.151	L1000
finasteride	3.33 uM	3	A14	-0.0165844925932018	0.9	L1000
fipronil	3.33 uM	3	O20	0.0672296222173157	0.137	L1000
firategrast	3.33 uM	3	L02	0.0489918454293516	0.203	L1000
flavoxate	3.33 uM	3	H14	0.0989288099008566	0.061	L1000
flecainide	3.33 uM	3	I02	0.0233779414395206	0.509	L1000
floxuridine	3.33 uM	3	P14	0.2575731173334298	0	L1000
fluconazole	3.33 uM	3	G20	0.0284010050291146	0.472	L1000
fludarabine-phosphate	3.33 uM	3	K20	-0.0594382951517727	0.998	L1000
fludroxycortide	3.33 uM	3	N08	0.3411818031647949	0	L1000
flumatinib	3.33 uM	3	F02	0.1087134292874568	0.053	L1000
flumazenil	3.33 uM	3	M02	0.043666752462351	0.305	L1000
fluocinonide	3.33 uM	3	P08	0.4843577958489998	0	L1000
fluorometholone	3.33 uM	3	G02	0.4557244180304001	0	L1000
fluorouracil	3.33 uM	3	J20	0.0607822668596104	0.127	L1000
fluoxetine	3.33 uM	3	A14	0.0303495004273926	0.36	L1000
fluphenazine	3.33 uM	3	K20	0.0147316128848478	0.631	L1000
fluspirilene	3.33 uM	2	L08	0.1181607973398762	0.111	L1000
flutamide	3.33 uM	3	A20	0.0303204849277387	0.462	L1000
fluticasone	3.33 uM	3	B20	0.3365400006456072	0	L1000
flutrimazole	3.33 uM	4	B14	0.0506941507919611	0.206	L1000
fluvoxamine	3.33 uM	3	H14	0.0545817590609836	0.225	L1000
folic-acid	3.33 uM	3	O20	0.0907742186704423	0.087	L1000
fomepizole	3.33 uM	3	F02	0.0356009452942982	0.39	L1000
fomocaine	3.33 uM	3	B14	0.118220595717185	0.038	L1000
foretinib	3.33 uM	4	P20	0.0811233685669411	0.062	L1000
formestane	3.33 uM	3	O14	0.0525985317636539	0.281	L1000
formoterol	3.33 uM	3	I14	0.0295772637184667	0.516	L1000
forskolin	3.33 uM	3	J08	0.057430773446459	0.254	L1000
fosfomycin	3.33 uM	3	I20	0.0554334847192435	0.19	L1000
fostamatinib	3.33 uM	3	D20	0.0465270505846659	0.264	L1000
fpl-62064	3.33 uM	3	M08	-0.013134803901552	0.886	L1000
ftorafur	3.33 uM	3	O08	0.0773655283015503	0.138	L1000
fulvestrant	3.33 uM	4	O08	0.0236990492425771	0.653	L1000
fusidic-acid	3.33 uM	3	L14	0.069732905568169	0.155	L1000
gabapentin	3.33 uM	3	M20	0.1450483030072717	0.006	L1000
galeterone	3.33 uM	3	A14	0.0794279038668608	0.069	L1000
ganaxolone	3.33 uM	3	H20	0.0074037293849298	0.66	L1000
gatifloxacin	3.33 uM	3	B08	0.0134614459448009	0.635	L1000
gdc-0068	3.33 uM	3	I08	0.1473386219595931	0.01	L1000
gdc-0152	3.33 uM	3	M02	0.1296438835965499	0.016	L1000
gdc-0199	3.33 uM	3	G02	0.0719856050378605	0.19	L1000
gdc-0834	3.33 uM	3	H08	0.0727792867996451	0.152	L1000
gefitinib	3.33 uM	3	H14	0.0907573089377603	0.085	L1000
gemcitabine	3.33 uM	3	N14	0.5347076650031243	0	L1000
gemfibrozil	3.33 uM	3	M20	-0.0107772033687413	0.842	L1000
gemifloxacin	3.33 uM	3	H20	0.0452775955086419	0.255	L1000
genz-644282	3.33 uM	3	E02	0.5537769003401799	0	L1000
gestrinone	3.33 uM	3	P14	0.0496181310048781	0.214	L1000
gimeracil	3.33 uM	3	N14	0.161264271877931	0.01	L1000
ginkgolide-b	3.33 uM	3	F14	0.09282877404618	0.051	L1000
glasdegib	3.33 uM	3	L02	-0.0083565049254871	0.831	L1000
gliclazide	3.33 uM	3	P02	0.0426462278604596	0.709	L1000
glimepiride	3.33 uM	3	K20	0.0171201441214948	0.601	L1000
glipizide	3.33 uM	3	B14	0.0155323868675127	0.625	L1000
gliquidone	3.33 uM	3	B14	0.0919355996770027	0.073	L1000
glycitein	3.33 uM	3	M14	0.1357508726448398	0.026	L1000
glycopyrrolate	3.33 uM	3	N20	-0.011109481476612	0.775	L1000
golvatinib	3.33 uM	3	F14	0.0408862072545711	0.251	L1000
goserelin-acetate	3.33 uM	3	L20	0.1294812537874056	0.021	L1000
granisetron	3.33 uM	3	M08	-0.0014108747704022	0.75	L1000
grazoprevir	3.33 uM	3	N08	0.0088763545818731	0.652	L1000
griseofulvin	3.33 uM	3	C02	0.0809572483615985	0.117	L1000
gsk1292263	3.33 uM	3	G20	0.0212532682341857	0.56	L1000
gsk2110183	3.33 uM	3	A08	0.2343880153381005	0.002	L1000
gsk256066	3.33 uM	3	B20	0.0363675615298494	0.359	L1000
gsk2636771	3.33 uM	3	K14	0.0603438294232666	0.226	L1000
guanabenz	3.33 uM	3	E02	0.0120783618273115	0.703	L1000
guanadrel	3.33 uM	3	J20	-0.0264103446820512	0.963	L1000
guanethidine	3.33 uM	3	D08	-0.019133916226646	0.932	L1000
gw842166	3.33 uM	3	B08	0.0125862027300701	0.655	L1000
halcinonide	3.33 uM	3	C02	0.22046055610272	0.002	L1000
haloperidol	3.33 uM	3	N08	0.0533536802257473	0.193	L1000
hc-030031	3.33 uM	3	G08	0.1393888548977523	0.024	L1000
hesperidin	3.33 uM	3	F14	-0.0115791115871768	0.885	L1000
hexachlorophene	3.33 uM	3	M20	0.5021120322541693	0	L1000
histamine	3.33 uM	4	H14	0.0100794013929919	0.74	L1000
homochlorcyclizine	3.33 uM	3	J02	0.0552732179900168	0.274	L1000
homoharringtonine	3.33 uM	3	L08	0.7628425480550342	0	L1000
honokiol	3.33 uM	3	A20	0.0830148304240336	0.107	L1000
hydrocortisone	3.33 uM	2	E20	0.4109946214967941	0.001	L1000
hydroxyurea	3.33 uM	3	C14	-0.0162110141055793	0.916	L1000
hymecromone	3.33 uM	3	E14	0.1067181391724873	0.058	L1000
hypericin	3.33 uM	3	M14	0.0031118170554615	0.713	L1000
i-bet-762	3.33 uM	3	A20	0.3730639187554243	0	L1000
ib-meca	3.33 uM	3	B08	0.0452058130684341	0.285	L1000
ibrutinib	3.33 uM	3	G20	0.0473268946408334	0.283	L1000
ibudilast	3.33 uM	3	E08	-0.0240290827763083	0.928	L1000
ibuprofen	3.33 uM	3	L14	0.1234630884536299	0.037	L1000
ibutamoren	3.33 uM	3	C02	-8.033187049791e-4	0.791	L1000
ici-162846	3.33 uM	3	M14	0.0843856930625124	0.085	L1000
ici-185,282	3.33 uM	3	J02	0.037579720430856	0.401	L1000
ici-192605	3.33 uM	3	K20	0.0350260706493208	0.381	L1000
idalopirdine	3.33 uM	3	N20	0.0151457286531712	0.465	L1000
idelalisib	3.33 uM	3	I02	0.0120457745106523	0.678	L1000
idoxuridin	3.33 uM	3	M14	0.0538896720621179	0.189	L1000
ifosfamide	3.33 uM	3	P02	0.1678904851702746	0.212	L1000
iguratimod	3.33 uM	3	O20	0.0225875028963733	0.488	L1000
ilomastat	3.33 uM	3	D02	-0.0582146031149679	0.996	L1000
imatinib	3.33 uM	3	A20	0.134721025703807	0.024	L1000
imexon	3.33 uM	3	N08	0.1752949874631015	0.001	L1000
imiloxan	3.33 uM	3	M02	0.0736792906445307	0.125	L1000
imipramine	3.33 uM	3	E02	0.0502301103912534	0.342	L1000
imiquimod	3.33 uM	3	E08	0.1441875965427658	0.013	L1000
indacaterol	3.33 uM	3	E14	-7.664583492347e-4	0.816	L1000
indapamide	3.33 uM	3	G02	0.1145633606585295	0.07	L1000
indibulin	3.33 uM	3	G20	0.2881459681154747	0	L1000
indinavir	3.33 uM	3	H08	0.0621658992984321	0.194	L1000
indiplon	3.33 uM	3	I02	-0.0168941836854479	0.934	L1000
indirubin	3.33 uM	3	M08	0.2872855127465771	0	L1000
indobufen	3.33 uM	3	E02	0.0772540741825757	0.193	L1000
indole	3.33 uM	4	H20	0.0490929631545085	0.198	L1000
indoprofen	3.33 uM	3	O14	0.0493618390279963	0.302	L1000
indoramin	3.33 uM	2	I20	-0.0139761323524275	0.757	L1000
ingenol-mebutate	3.33 uM	3	D20	0.3850137945228765	0	L1000
iniparib	3.33 uM	3	P02	0.0675216195339984	0.548	L1000
inosine	3.33 uM	3	J20	0.0153268656070258	0.525	L1000
inositol	3.33 uM	3	P02	-0.0348346675140832	0.984	L1000
iowh032	3.33 uM	3	L20	0.0264806487510906	0.466	L1000
ipratropium	3.33 uM	3	L14	-0.047236724092862	0.983	L1000
ipriflavone	3.33 uM	3	E14	0.071206688489664	0.156	L1000
irinotecan	3.33 uM	3	C14	0.180366045045727	0.001	L1000
isbufylline	3.33 uM	3	I20	0.0042628459267438	0.679	L1000
isoconazole	3.33 uM	3	E02	0.0536801430606936	0.323	L1000
isofloxythepin	3.33 uM	3	P08	0.0453034428529451	0.282	L1000
isosorbide	3.33 uM	3	F02	0.0312631845275656	0.424	L1000
isradipine	3.33 uM	3	D02	0.056281722070629	0.28	L1000
istaroxime	3.33 uM	3	K14	0.6444675350177853	0	L1000
itopride	3.33 uM	3	M08	-0.0403067373201064	0.982	L1000
ivabradine	3.33 uM	3	B20	0.1201522182162995	0.041	L1000
ivacaftor	3.33 uM	3	F20	0.0591017382446103	0.117	L1000
ivermectin	3.33 uM	3	J20	0.1417046984245034	0.016	L1000
ixabepilone	3.33 uM	3	B08	0.369310423638488	0	L1000
josamycin	3.33 uM	3	D02	0.0436485706536984	0.359	L1000
kakonein	3.33 uM	3	O20	-0.0018400846032281	0.738	L1000
kbg	3.33 uM	4	B20	0.0396421956700912	0.292	L1000
kd-023	3.33 uM	3	L20	0.0765829435158113	0.118	L1000
kd025	3.33 uM	3	C14	0.1124307043457139	0.04	L1000
