moa,moa_cpds_dose_1,moa_cpds_dose_2,moa_cpds_dose_3,moa_cpds_dose_4,moa_cpds_dose_5,moa_cpds_dose_6,moa_size
sodium channel blocker,disopyramide;flecainide;moracizine;benzamil;bupivacaine;ambroxol;quinidine;co-102862;procainamide;triamterene;ranolazine;amiloride;lupanine,disopyramide;flecainide;moracizine;benzamil;bupivacaine;ambroxol;quinidine;co-102862;procainamide;triamterene;ranolazine;amiloride;lupanine,disopyramide;flecainide;moracizine;benzamil;bupivacaine;ambroxol;quinidine;co-102862;procainamide;triamterene;ranolazine;amiloride;lupanine,disopyramide;flecainide;moracizine;benzamil;bupivacaine;ambroxol;quinidine;co-102862;procainamide;triamterene;ranolazine;amiloride;lupanine,disopyramide;flecainide;moracizine;benzamil;bupivacaine;ambroxol;quinidine;co-102862;procainamide;triamterene;ranolazine;amiloride;lupanine,disopyramide;flecainide;moracizine;benzamil;bupivacaine;ambroxol;quinidine;co-102862;procainamide;triamterene;ranolazine;amiloride;lupanine,13
sodium/glucose cotransporter inhibitor,empagliflozin;dapagliflozin;canagliflozin,empagliflozin;dapagliflozin;canagliflozin,empagliflozin;dapagliflozin;canagliflozin,empagliflozin;dapagliflozin;canagliflozin,empagliflozin;dapagliflozin;canagliflozin,empagliflozin;dapagliflozin;canagliflozin,3
sodium/potassium/chloride transporter inhibitor,hydroflumethiazide;etacrynic-acid;bendroflumethiazide,hydroflumethiazide;etacrynic-acid;bendroflumethiazide,hydroflumethiazide;etacrynic-acid;bendroflumethiazide,hydroflumethiazide;etacrynic-acid;bendroflumethiazide,hydroflumethiazide;etacrynic-acid;bendroflumethiazide,hydroflumethiazide;etacrynic-acid;bendroflumethiazide,3
sterol demethylase inhibitor,tioconazole;fluconazole;flutrimazole;ketoconazole;luliconazole;bifonazole;sertaconazole,tioconazole;fluconazole;flutrimazole;ketoconazole;luliconazole;bifonazole;sertaconazole,tioconazole;fluconazole;flutrimazole;ketoconazole;luliconazole;bifonazole;sertaconazole,tioconazole;fluconazole;flutrimazole;ketoconazole;luliconazole;bifonazole;sertaconazole,tioconazole;fluconazole;flutrimazole;ketoconazole;luliconazole;bifonazole;sertaconazole,tioconazole;fluconazole;flutrimazole;ketoconazole;luliconazole;bifonazole;sertaconazole,7
sulfonylurea,glipizide;gliquidone,glipizide;gliquidone,glipizide;gliquidone,glipizide;gliquidone,glipizide;gliquidone,glipizide;gliquidone,2
t-type calcium channel blocker,mibefradil;penfluridol;pinaverium,mibefradil;penfluridol;pinaverium,mibefradil;penfluridol;pinaverium,mibefradil;penfluridol;pinaverium,mibefradil;penfluridol;pinaverium,mibefradil;penfluridol;pinaverium,3
tachykinin antagonist,aprepitant;sdz-nkt-343;talnetant;fk-888;av-608;netupitant,aprepitant;sdz-nkt-343;talnetant;fk-888;av-608;netupitant,aprepitant;sdz-nkt-343;talnetant;fk-888;av-608;netupitant,aprepitant;sdz-nkt-343;talnetant;fk-888;av-608;netupitant,aprepitant;sdz-nkt-343;talnetant;fk-888;av-608;netupitant,aprepitant;sdz-nkt-343;talnetant;fk-888;av-608;netupitant,6
tgf beta receptor inhibitor,d-4476;ly2157299;pirfenidone,d-4476;ly2157299;pirfenidone,d-4476;ly2157299;pirfenidone,d-4476;ly2157299;pirfenidone,d-4476;ly2157299;pirfenidone,d-4476;ly2157299;pirfenidone,3
thrombin inhibitor,argatroban;ammonium-glycyrrhizinate,argatroban;ammonium-glycyrrhizinate,argatroban;ammonium-glycyrrhizinate,argatroban;ammonium-glycyrrhizinate,argatroban;ammonium-glycyrrhizinate,argatroban;ammonium-glycyrrhizinate,2
thromboxane receptor antagonist,"l-655240;ici-185,282;ici-192605","l-655240;ici-185,282;ici-192605","l-655240;ici-185,282;ici-192605","l-655240;ici-185,282;ici-192605","l-655240;ici-185,282;ici-192605","l-655240;ici-185,282;ici-192605",3
thromboxane synthase inhibitor,dazmegrel;ozagrel;dazoxiben,dazmegrel;ozagrel;dazoxiben,dazmegrel;ozagrel;dazoxiben,dazmegrel;ozagrel;dazoxiben,dazmegrel;ozagrel;dazoxiben,dazmegrel;ozagrel;dazoxiben,3
thymidylate synthase inhibitor,doxifluridine;ftorafur,doxifluridine;ftorafur,doxifluridine;ftorafur,doxifluridine;ftorafur,doxifluridine;ftorafur,doxifluridine;ftorafur,2
thyrotropin releasing hormone receptor agonist,protirelin;taltirelin,protirelin;taltirelin,protirelin;taltirelin,protirelin;taltirelin,protirelin;taltirelin,protirelin;taltirelin,2
topoisomerase inhibitor,licochalcone-a;voreloxin;irinotecan;tas-103;mitoxantrone;sn-38;cinoxacin;etoposide;camptothecin;amonafide;epirubicin;pazufloxacin;merbarone;amsacrine;enoxacin;genz-644282;doxorubicin,licochalcone-a;voreloxin;irinotecan;tas-103;mitoxantrone;sn-38;cinoxacin;etoposide;camptothecin;amonafide;epirubicin;pazufloxacin;merbarone;amsacrine;enoxacin;genz-644282;doxorubicin,licochalcone-a;voreloxin;irinotecan;tas-103;mitoxantrone;sn-38;cinoxacin;etoposide;camptothecin;amonafide;epirubicin;pazufloxacin;merbarone;amsacrine;enoxacin;genz-644282;doxorubicin,licochalcone-a;voreloxin;irinotecan;tas-103;mitoxantrone;sn-38;cinoxacin;etoposide;camptothecin;amonafide;epirubicin;pazufloxacin;merbarone;amsacrine;enoxacin;genz-644282;doxorubicin,licochalcone-a;voreloxin;irinotecan;tas-103;mitoxantrone;sn-38;cinoxacin;etoposide;camptothecin;amonafide;epirubicin;pazufloxacin;merbarone;amsacrine;enoxacin;genz-644282;doxorubicin,licochalcone-a;voreloxin;irinotecan;tas-103;mitoxantrone;sn-38;cinoxacin;etoposide;camptothecin;amonafide;epirubicin;pazufloxacin;merbarone;amsacrine;enoxacin;genz-644282;doxorubicin,17
tricyclic antidepressant,protriptyline;nortriptyline,protriptyline;nortriptyline,protriptyline;nortriptyline,protriptyline;nortriptyline,protriptyline;nortriptyline,protriptyline;nortriptyline,2
trpv antagonist,amg-517;sb-705498,amg-517;sb-705498,amg-517;sb-705498,amg-517;sb-705498,amg-517;sb-705498,amg-517;sb-705498,2
tubulin inhibitor,dimesna;cyt-997;paclitaxel;griseofulvin;docetaxel;mebendazole;indibulin;albendazole,dimesna;cyt-997;paclitaxel;griseofulvin;docetaxel;mebendazole;indibulin;albendazole,dimesna;cyt-997;paclitaxel;griseofulvin;docetaxel;mebendazole;indibulin;albendazole,dimesna;cyt-997;paclitaxel;griseofulvin;docetaxel;mebendazole;indibulin;albendazole,dimesna;cyt-997;paclitaxel;griseofulvin;docetaxel;mebendazole;indibulin;albendazole,dimesna;cyt-997;paclitaxel;griseofulvin;docetaxel;mebendazole;indibulin;albendazole,8
tumor necrosis factor release inhibitor,cpi-1189;glycitein,cpi-1189;glycitein,cpi-1189;glycitein,cpi-1189;glycitein,cpi-1189;glycitein,cpi-1189;glycitein,2
tyrosinase inhibitor,azelaic-acid;rucinol,azelaic-acid;rucinol,azelaic-acid;rucinol,azelaic-acid;rucinol,azelaic-acid;rucinol,azelaic-acid;rucinol,2
tyrosine kinase inhibitor,hypericin;amg-208;tivantinib;genistein;jnj-38877605,hypericin;amg-208;tivantinib;genistein;jnj-38877605,hypericin;amg-208;tivantinib;genistein;jnj-38877605,hypericin;amg-208;tivantinib;genistein;jnj-38877605,hypericin;amg-208;tivantinib;genistein;jnj-38877605,hypericin;amg-208;tivantinib;genistein;jnj-38877605,5
vasopressin receptor antagonist,mozavaptan;conivaptan;tolvaptan;relcovaptan,mozavaptan;conivaptan;tolvaptan;relcovaptan,mozavaptan;conivaptan;tolvaptan;relcovaptan,mozavaptan;conivaptan;tolvaptan;relcovaptan,mozavaptan;conivaptan;tolvaptan;relcovaptan,mozavaptan;conivaptan;tolvaptan;relcovaptan,4
vegfr inhibitor,foretinib;tivozanib;semaxanib;golvatinib,foretinib;tivozanib;semaxanib;golvatinib,foretinib;tivozanib;semaxanib;golvatinib,foretinib;tivozanib;semaxanib;golvatinib,foretinib;tivozanib;semaxanib;golvatinib,foretinib;tivozanib;semaxanib;golvatinib,4
vesicular monoamine transporter inhibitor,tetrabenazine;reserpine,tetrabenazine;reserpine,tetrabenazine;reserpine,tetrabenazine;reserpine,tetrabenazine;reserpine,tetrabenazine;reserpine,2
vitamin d receptor agonist,calcitriol;seocalcitol;paricalcitol;maxacalcitol;ercalcitriol;tacalcitol,calcitriol;seocalcitol;paricalcitol;maxacalcitol;ercalcitriol;tacalcitol,calcitriol;seocalcitol;paricalcitol;maxacalcitol;ercalcitriol;tacalcitol,calcitriol;seocalcitol;paricalcitol;maxacalcitol;ercalcitriol;tacalcitol,calcitriol;seocalcitol;paricalcitol;maxacalcitol;ercalcitriol;tacalcitol,calcitriol;seocalcitol;paricalcitol;maxacalcitol;ercalcitriol;tacalcitol,6
vitamin k antagonist,warfarin;phenprocoumon;acenocoumarol,warfarin;phenprocoumon;acenocoumarol,warfarin;phenprocoumon;acenocoumarol,warfarin;phenprocoumon;acenocoumarol,warfarin;phenprocoumon;acenocoumarol,warfarin;phenprocoumon;acenocoumarol,3
voltage-gated sodium channel blocker,tolperisone;licarbazepine;rufinamide,tolperisone;licarbazepine;rufinamide,tolperisone;licarbazepine;rufinamide,tolperisone;licarbazepine;rufinamide,tolperisone;licarbazepine;rufinamide,tolperisone;licarbazepine;rufinamide,3
xanthine oxidase inhibitor,oxypurinol;febuxostat;allopurinol;topiroxostat,oxypurinol;febuxostat;allopurinol;topiroxostat,oxypurinol;febuxostat;allopurinol;topiroxostat,oxypurinol;febuxostat;allopurinol;topiroxostat,oxypurinol;febuxostat;allopurinol;topiroxostat,oxypurinol;febuxostat;allopurinol;topiroxostat,4
xiap inhibitor,lcl-161;gdc-0152;birinapant,lcl-161;gdc-0152;birinapant,lcl-161;gdc-0152;birinapant,lcl-161;gdc-0152;birinapant,lcl-161;gdc-0152;birinapant,lcl-161;gdc-0152;birinapant,3
